player1_id,player2_id,total_matches,p1_wins,p2_wins,p1_win_pct,p2_win_pct
100644,106401,7,4,4,0.5714285714285714,0.5714285714285714
100644,106415,3,3,3,1.0,1.0
100644,106421,19,7,12,0.3684210526315789,0.631578947368421
100644,106423,2,2,2,1.0,1.0
100644,106426,3,2,2,0.6666666666666666,0.6666666666666666
100644,106432,7,3,4,0.42857142857142855,0.5714285714285714
100644,109739,2,2,2,1.0,1.0
100644,110602,1,1,1,1.0,1.0
100644,111153,2,2,2,1.0,1.0
100644,111190,1,1,1,1.0,1.0
100644,111202,3,2,1,0.6666666666666666,0.3333333333333333
100644,111442,4,2,2,0.5,0.5
100644,111456,3,3,3,1.0,1.0
100644,111513,3,3,3,1.0,1.0
100644,111575,7,5,5,0.7142857142857143,0.7142857142857143
100644,111581,2,1,1,0.5,0.5
100644,111797,7,2,5,0.2857142857142857,0.7142857142857143
100644,111815,6,6,6,1.0,1.0
100644,121896,1,1,1,1.0,1.0
100644,122330,4,3,3,0.75,0.75
100644,122669,1,1,1,1.0,1.0
100644,123755,1,1,1,1.0,1.0
100644,124079,1,1,1,1.0,1.0
100644,124116,4,4,4,1.0,1.0
100644,124186,1,1,1,1.0,1.0
100644,125802,1,1,1,1.0,1.0
100644,126094,10,7,7,0.7,0.7
100644,126128,3,2,1,0.6666666666666666,0.3333333333333333
100644,126203,12,5,7,0.4166666666666667,0.5833333333333334
100644,126205,2,2,2,1.0,1.0
100644,126207,9,8,8,0.8888888888888888,0.8888888888888888
100644,126214,1,1,1,1.0,1.0
100644,126409,1,1,1,1.0,1.0
100644,126523,1,1,1,1.0,1.0
100644,126610,6,4,2,0.6666666666666666,0.3333333333333333
100644,126774,16,6,6,0.375,0.375
100644,126846,2,2,2,1.0,1.0
100644,126952,1,1,1,1.0,1.0
100644,127157,3,2,1,0.6666666666666666,0.3333333333333333
100644,127760,1,1,1,1.0,1.0
100644,128034,4,3,1,0.75,0.25
100644,132283,4,4,4,1.0,1.0
100644,132686,1,1,1,1.0,1.0
100644,133297,1,1,1,1.0,1.0
100644,133430,9,6,6,0.6666666666666666,0.6666666666666666
100644,133835,1,1,1,1.0,1.0
100644,134770,7,5,5,0.7142857142857143,0.7142857142857143
100644,134868,7,6,6,0.8571428571428571,0.8571428571428571
100644,136440,3,3,3,1.0,1.0
100644,144684,3,3,3,1.0,1.0
100644,144707,3,3,3,1.0,1.0
100644,144719,2,1,1,0.5,0.5
100644,144750,4,4,4,1.0,1.0
100644,144817,1,1,1,1.0,1.0
100644,144869,2,2,2,1.0,1.0
100644,200000,8,6,6,0.75,0.75
100644,200005,3,1,2,0.3333333333333333,0.6666666666666666
100644,200059,1,1,1,1.0,1.0
100644,200175,3,1,2,0.3333333333333333,0.6666666666666666
100644,200221,5,4,4,0.8,0.8
100644,200282,10,8,8,0.8,0.8
100644,200303,1,1,1,1.0,1.0
100644,200325,2,1,1,0.5,0.5
100644,200384,1,1,1,1.0,1.0
100644,200514,1,1,1,1.0,1.0
100644,200615,3,3,3,1.0,1.0
100644,200624,1,1,1,1.0,1.0
100644,200670,1,1,1,1.0,1.0
100644,202103,1,1,1,1.0,1.0
100644,202104,2,2,2,1.0,1.0
100644,202195,1,1,1,1.0,1.0
100644,202385,2,2,2,1.0,1.0
100644,205734,1,1,1,1.0,1.0
100644,206173,6,2,2,0.3333333333333333,0.3333333333333333
100644,206681,1,1,1,1.0,1.0
100644,206909,3,3,3,1.0,1.0
100644,207411,1,1,1,1.0,1.0
100644,207518,3,1,2,0.3333333333333333,0.6666666666666666
100644,207830,1,1,1,1.0,1.0
100644,207989,11,6,6,0.5454545454545454,0.5454545454545454
100644,208029,4,1,3,0.25,0.75
100644,208103,2,1,1,0.5,0.5
100644,208233,1,1,1,1.0,1.0
100644,209260,1,1,1,1.0,1.0
100644,209414,1,1,1,1.0,1.0
100644,209950,4,3,3,0.75,0.75
100644,210097,1,1,1,1.0,1.0
100644,210506,1,1,1,1.0,1.0
100644,212082,1,1,1,1.0,1.0
100754,102036,1,1,1,1.0,1.0
100754,102320,1,1,1,1.0,1.0
100754,103060,1,1,1,1.0,1.0
100754,103828,1,1,1,1.0,1.0
100754,103905,1,1,1,1.0,1.0
100754,108614,1,1,1,1.0,1.0
100943,101964,1,1,1,1.0,1.0
100943,104180,1,1,1,1.0,1.0
100997,102756,1,1,1,1.0,1.0
101086,101150,1,1,1,1.0,1.0
101086,101543,1,1,1,1.0,1.0
101086,101611,1,1,1,1.0,1.0
101086,101820,1,1,1,1.0,1.0
101086,101889,1,1,1,1.0,1.0
101086,101969,1,1,1,1.0,1.0
101086,102061,1,1,1,1.0,1.0
101086,102539,1,1,1,1.0,1.0
101086,102644,1,1,1,1.0,1.0
101086,102720,1,1,1,1.0,1.0
101086,102776,1,1,1,1.0,1.0
101086,102817,1,1,1,1.0,1.0
101086,102831,1,1,1,1.0,1.0
101086,102834,1,1,1,1.0,1.0
101086,102856,1,1,1,1.0,1.0
101086,102880,1,1,1,1.0,1.0
101086,102882,1,1,1,1.0,1.0
101086,102950,1,1,1,1.0,1.0
101086,102987,1,1,1,1.0,1.0
101086,103018,1,1,1,1.0,1.0
101086,103082,1,1,1,1.0,1.0
101086,103387,1,1,1,1.0,1.0
101086,103602,1,1,1,1.0,1.0
101086,103894,1,1,1,1.0,1.0
101086,104156,1,1,1,1.0,1.0
101086,210013,1,1,1,1.0,1.0
101150,101543,1,1,1,1.0,1.0
101150,101647,1,1,1,1.0,1.0
101150,101711,2,2,2,1.0,1.0
101150,101733,3,2,1,0.6666666666666666,0.3333333333333333
101150,101736,1,1,1,1.0,1.0
101150,101820,1,1,1,1.0,1.0
101150,101962,2,1,1,0.5,0.5
101150,101964,1,1,1,1.0,1.0
101150,102035,1,1,1,1.0,1.0
101150,102104,1,1,1,1.0,1.0
101150,102106,1,1,1,1.0,1.0
101150,102148,3,2,1,0.6666666666666666,0.3333333333333333
101150,102158,1,1,1,1.0,1.0
101150,102162,1,1,1,1.0,1.0
101150,102179,1,1,1,1.0,1.0
101150,102184,1,1,1,1.0,1.0
101150,102202,1,1,1,1.0,1.0
101150,102223,1,1,1,1.0,1.0
101150,102227,1,1,1,1.0,1.0
101150,102257,1,1,1,1.0,1.0
101150,102259,1,1,1,1.0,1.0
101150,102287,1,1,1,1.0,1.0
101150,102318,1,1,1,1.0,1.0
101150,102338,2,2,2,1.0,1.0
101150,102344,1,1,1,1.0,1.0
101150,102358,2,1,1,0.5,0.5
101150,102374,2,2,2,1.0,1.0
101150,102395,1,1,1,1.0,1.0
101150,102401,1,1,1,1.0,1.0
101150,102562,4,3,1,0.75,0.25
101150,102563,1,1,1,1.0,1.0
101150,102610,1,1,1,1.0,1.0
101150,102644,1,1,1,1.0,1.0
101150,102701,1,1,1,1.0,1.0
101150,102720,1,1,1,1.0,1.0
101150,102796,2,2,2,1.0,1.0
101150,102855,1,1,1,1.0,1.0
101150,102856,2,2,2,1.0,1.0
101150,102872,2,1,1,0.5,0.5
101150,102880,1,1,1,1.0,1.0
101150,102905,2,2,2,1.0,1.0
101150,102934,1,1,1,1.0,1.0
101150,102950,1,1,1,1.0,1.0
101150,102998,1,1,1,1.0,1.0
101150,103096,2,1,1,0.5,0.5
101150,103114,1,1,1,1.0,1.0
101150,103182,1,1,1,1.0,1.0
101150,103188,1,1,1,1.0,1.0
101150,103193,1,1,1,1.0,1.0
101150,103206,2,2,2,1.0,1.0
101150,103248,1,1,1,1.0,1.0
101150,103428,1,1,1,1.0,1.0
101150,103454,1,1,1,1.0,1.0
101150,103498,3,1,2,0.3333333333333333,0.6666666666666666
101150,103694,1,1,1,1.0,1.0
101150,103720,1,1,1,1.0,1.0
101150,103819,1,1,1,1.0,1.0
101150,103898,1,1,1,1.0,1.0
101150,104053,1,1,1,1.0,1.0
101167,103264,1,1,1,1.0,1.0
101185,101532,1,1,1,1.0,1.0
101185,101723,1,1,1,1.0,1.0
101185,101792,1,1,1,1.0,1.0
101185,102106,1,1,1,1.0,1.0
101185,102162,1,1,1,1.0,1.0
101185,102644,1,1,1,1.0,1.0
101185,102795,1,1,1,1.0,1.0
101185,102796,1,1,1,1.0,1.0
