player_id,player_name,recent_matches,recent_win_rate,recent_hard_win_rate,recent_clay_win_rate,recent_grass_win_rate,recent_grand_slam_win_rate,recent_masters_win_rate,recent_first_serve_pct,recent_first_serve_won_pct,recent_second_serve_won_pct,recent_ace_rate,recent_double_fault_rate,recent_break_points_per_game,recent_break_point_save_pct
100644,Alexander Zverev,15,0.8,0.8,0.0,0.0,0.0,0.875,0.7127127127127127,0.7893258426966292,0.5888501742160279,0.8070175438596491,0.14619883040935672,0.2982456140350877,0.7450980392156863
100754,Rafael Avalos Brenes,6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6,0.6962962962962963,0.4888888888888889,0.42424242424242425,0.24242424242424243,0.6060606060606061,0.55
100943,Girts Dzelde,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5921052631578947,0.6666666666666666,0.45161290322580644,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.5
100997,Roger Smith,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5921052631578947,0.6666666666666666,0.45161290322580644,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.5
101086,Ronald Agenor,15,0.2,0.2,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.0,0.6563545150501672,0.6267515923566879,0.48418491484184917,0.18032786885245902,0.21311475409836064,0.7814207650273224,0.5664335664335665
101150,Gianluca Pozzi,15,0.13333333333333333,0.25,0.0,0.2,0.0,0.0,0.4731182795698925,0.7185314685314685,0.44427001569858715,0.366120218579235,0.3005464480874317,0.8032786885245902,0.5986394557823129
101167,Jaime Cortes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5294117647058824,0.29411764705882354,0.0,0.8571428571428571,1.2857142857142858,0.5555555555555556
101185,Mark Woodforde,10,0.3,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.5865504358655044,0.6687898089171974,0.4879518072289157,0.22764227642276422,0.2601626016260163,0.8699186991869918,0.6542056074766355
101191,Richey Reneberg,2,0.5,0.5,0.0,0.0,0.0,0.0,0.4878048780487805,0.6833333333333333,0.5079365079365079,0.29411764705882354,0.058823529411764705,0.6470588235294118,0.5454545454545454
101235,Paul Haarhuis,1,1.0,0.0,1.0,0.0,0.0,0.0,0.6164383561643836,0.7555555555555555,0.5714285714285714,0.5454545454545454,0.18181818181818182,0.36363636363636365,0.75
101263,Luke Jensen,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.6111111111111112,0.35714285714285715,0.1,0.5,0.6,0.16666666666666666
101316,Juan Rios,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5921052631578947,0.6666666666666666,0.45161290322580644,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.5
101320,Magnus Gustafsson,15,0.4666666666666667,0.3333333333333333,0.6,0.25,0.0,0.0,0.5957820738137083,0.7035398230088495,0.4543478260869565,0.34269662921348315,0.39325842696629215,0.7303370786516854,0.6
101373,Karsten Braasch,3,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.5223880597014925,0.7357142857142858,0.46875,0.3888888888888889,0.5277777777777778,0.6944444444444444,0.8
101382,Marcelo Filippini,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6330935251798561,0.5681818181818182,0.45098039215686275,0.21052631578947367,0.15789473684210525,1.1578947368421053,0.5909090909090909
101404,Thomas Muster,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6055555555555555,0.5871559633027523,0.4084507042253521,0.4074074074074074,0.2962962962962963,0.9259259259259259,0.48
101416,Joao Cunha Silva,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5921052631578947,0.6666666666666666,0.45161290322580644,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.5
101439,Javier Sanchez,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.625,0.5,0.0,0.0,0.4,0.5
101463,Bernd Karbacher,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5576923076923077,0.6551724137931034,0.391304347826087,0.23809523809523808,0.3333333333333333,1.1428571428571428,0.625
101495,Miguel Tobon,3,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.5720720720720721,0.7322834645669292,0.5157894736842106,0.375,0.3125,0.40625,0.5384615384615384
101532,Francisco Clavet,15,0.3333333333333333,0.38461538461538464,0.0,0.0,0.0,0.5,0.6481012658227848,0.6145833333333334,0.4844124700239808,0.20224719101123595,0.20786516853932585,0.7696629213483146,0.5547445255474452
101543,Jeff Tarango,15,0.13333333333333333,0.15384615384615385,0.0,0.0,0.0,0.0,0.6097137901127494,0.6429587482219061,0.5133333333333333,0.3872832369942196,0.21965317919075145,0.6473988439306358,0.5357142857142857
101609,David Wheaton,4,0.25,0.0,0.0,0.5,0.0,0.0,0.5616883116883117,0.7283236994219653,0.5481481481481482,0.5531914893617021,0.3829787234042553,0.44680851063829785,0.6666666666666666
101611,Cedric Pioline,15,0.4,0.5,0.5,0.4,0.0,0.0,0.5368705035971223,0.695142378559464,0.47378640776699027,0.4550898203592814,0.3652694610778443,0.5688622754491018,0.5263157894736842
101638,Sean Karam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5921052631578947,0.6666666666666666,0.45161290322580644,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.5
101647,Byron Black,15,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.0,0.6461538461538462,0.6574074074074074,0.4975845410628019,0.28651685393258425,0.16853932584269662,0.6573033707865169,0.5470085470085471
