player_id,name,matches_played,win_rate,hard_win_rate,clay_win_rate,grass_win_rate,grand_slam_win_rate,masters_win_rate,first_serve_pct,first_serve_won_pct,second_serve_won_pct,ace_rate,double_fault_rate,break_points_per_game,break_point_save_pct
100644,Alexander Zverev,663,0.6998491704374057,0.6884422110552764,0.7330097087378641,0.6610169491525424,0.7426470588235294,0.7024390243902439,0.6702758344611983,0.7453785336442751,0.5155807365439093,0.6489585771120993,0.26410016381933066,0.42745143926983387,0.6175745962222831
100754,Rafael Avalos Brenes,6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6,0.6962962962962963,0.4888888888888889,0.42424242424242425,0.24242424242424243,0.6060606060606061,0.55
100943,Girts Dzelde,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5921052631578947,0.6666666666666666,0.45161290322580644,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.5
100997,Roger Smith,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5921052631578947,0.6666666666666666,0.45161290322580644,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.5
101086,Ronald Agenor,26,0.2692307692307692,0.2727272727272727,0.25,0.3333333333333333,0.25,0.0,0.6552399608227228,0.6278026905829597,0.5071022727272727,0.1942675159235669,0.2229299363057325,0.7547770700636943,0.5654008438818565
101150,Gianluca Pozzi,80,0.425,0.4090909090909091,0.2,0.5789473684210527,0.42857142857142855,0.5,0.4570886676149834,0.7493084370677732,0.4908296943231441,0.45837615621788286,0.2343268242548818,0.6587872559095581,0.608424336973479
101167,Jaime Cortes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5294117647058824,0.29411764705882354,0.0,0.8571428571428571,1.2857142857142858,0.5555555555555556
101185,Mark Woodforde,10,0.3,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.5865504358655044,0.6687898089171974,0.4879518072289157,0.22764227642276422,0.2601626016260163,0.8699186991869918,0.6542056074766355
101191,Richey Reneberg,2,0.5,0.5,0.0,0.0,0.0,0.0,0.4878048780487805,0.6833333333333333,0.5079365079365079,0.29411764705882354,0.058823529411764705,0.6470588235294118,0.5454545454545454
101235,Paul Haarhuis,1,1.0,0.0,1.0,0.0,0.0,0.0,0.6164383561643836,0.7555555555555555,0.5714285714285714,0.5454545454545454,0.18181818181818182,0.36363636363636365,0.75
101263,Luke Jensen,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.6111111111111112,0.35714285714285715,0.1,0.5,0.6,0.16666666666666666
101316,Juan Rios,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5921052631578947,0.6666666666666666,0.45161290322580644,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.5
101320,Magnus Gustafsson,68,0.5294117647058824,0.4444444444444444,0.5806451612903226,0.5,0.25,0.5,0.6199887069452287,0.6942926533090468,0.4878652798415057,0.31521739130434784,0.31521739130434784,0.6521739130434783,0.6148148148148148
101373,Karsten Braasch,3,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.5223880597014925,0.7357142857142858,0.46875,0.3888888888888889,0.5277777777777778,0.6944444444444444,0.8
101382,Marcelo Filippini,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6330935251798561,0.5681818181818182,0.45098039215686275,0.21052631578947367,0.15789473684210525,1.1578947368421053,0.5909090909090909
101404,Thomas Muster,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6055555555555555,0.5871559633027523,0.4084507042253521,0.4074074074074074,0.2962962962962963,0.9259259259259259,0.48
101416,Joao Cunha Silva,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5921052631578947,0.6666666666666666,0.45161290322580644,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.5
101439,Javier Sanchez,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.625,0.5,0.0,0.0,0.4,0.5
101463,Bernd Karbacher,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5576923076923077,0.6551724137931034,0.391304347826087,0.23809523809523808,0.3333333333333333,1.1428571428571428,0.625
101495,Miguel Tobon,3,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.5720720720720721,0.7322834645669292,0.5157894736842106,0.375,0.3125,0.40625,0.5384615384615384
101532,Francisco Clavet,148,0.4391891891891892,0.4675324675324675,0.4262295081967213,0.42857142857142855,0.35,0.3888888888888889,0.6383992805755395,0.6581208620932526,0.5292215866699826,0.18533724340175953,0.15718475073313784,0.6181818181818182,0.5872865275142315
101543,Jeff Tarango,46,0.2608695652173913,0.125,0.47058823529411764,0.25,0.16666666666666666,0.0,0.6109791501715492,0.6751619870410367,0.5264586160108549,0.36254295532646047,0.3436426116838488,0.6426116838487973,0.5721925133689839
101609,David Wheaton,4,0.25,0.0,0.0,0.5,0.0,0.0,0.5616883116883117,0.7283236994219653,0.5481481481481482,0.5531914893617021,0.3829787234042553,0.44680851063829785,0.6666666666666666
101611,Cedric Pioline,117,0.5042735042735043,0.5185185185185185,0.5714285714285714,0.4666666666666667,0.5,0.5357142857142857,0.5358958068614994,0.7512349338075479,0.514259639516313,0.5755735492577598,0.3232118758434548,0.5317139001349528,0.6129441624365483
101638,Sean Karam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5921052631578947,0.6666666666666666,0.45161290322580644,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.5
